Presentation Title,Description or Abstract,Organization1,Organization1_id,Organization2,Organization2_id,Organization3,Organization3_id,Organization4,Organization4_id,Organization5,Organization5_id,Organization6,Organization6_id,Organization7,Organization7_id,SustainabilityTopic1,SustainabilityTopic2,SustainabilityTopic3,AcademicDiscipline1,OfficeDepartment1,Tags,PresentationDate,ConferenceName,PresType,Author1_Name,Author1_Title,Author1_Org,Author1_OrgID,Author2_Name,Author2_Title,Author2_Org,Author2_OrgID,Author3_Name,Author3_Title,Author3_Org,Author3_OrgID,Author4_Name,Author4_Title,Author4_Org,Author4_OrgID,Author5_Name,Author5_Title,Author5_Org,Author5_OrgID,Author6_Name,Author6_Title,Author6_Org,Author6_OrgID,Author7_Name,Author7_Title,Author7_Org,Author7_OrgID,Author8_Name,Author8_Title,Author8_Org,Author8_OrgID,File1,File2,File3,File4
Multiple Approaches to Successfully Sustaining Your Campus as a Teaching and Living Laboratory,"The concept of using campus buildings, grounds, infrastructure, resources, and systems to support research and learning in sustainability is widely accepted and recognized by assessments like STARS. This workshop will address the need to make such efforts sustainable as they transition from trial projects to ongoing programs on your campus. The focus will be on the roles of campus sustainability staff as managers, advisors, subject matter experts, collaborators, funders, and matchmakers for campus-as-a-laboratory efforts. We will present several different models currently in use across six campuses that emphasize different foundations for program success, including: focus on available physical resources, such as dedicated spaces (Furman University); focus on defining projects and deliverables for capstone courses (University of North Carolina at Charlotte), facilitating non-capstone projects (NC State University), supporting research theses (Duke University), enabling on-campus field site immersion (University of North Carolina at Chapel Hill); and creating curriculum modules (University of Georgia). We will share methodologies for planning and coordination, such as: campus needs assessments and resource mapping (UNCC); managing client-based projects (NC State); using a theme to catalyze living lab activity (UGA), peer-to-peer faculty engagement (UNCCH); and assessing cost/time versus impact (Furman).",North Carolina State University,3655,Furman University,3836,The University of Georgia,2188,Duke University,1336,"University of North Carolina, Charlotte",0725,,,,,Coordination & Planning,Curriculum,,,,living labs,10/15/2017,AASHE,Presentation,Tracy Dixon,Sustainability Director,North Carolina State University,3655,Laura Bain,Associate Director of Sustainability Assessment,Furman University,3836,Tyra Byers,Program Coordinator,The University of Georgia,2188,Tavey Capps,Sustainability Director,Duke University,1336,Michael Lizotte,University Sustainability Officer,"University of North Carolina, Charlotte",0725,,,,,,,,,,,,,1300_Dixon_2381.pdf,,,
Fishing for Solutions: How Sourcing Sustainable and Affordable Seafood Fits into Your Campus Foodservice and Sustainability Programs,"What's for dinner? Fish! And a chance to promote ocean conservation, increase seafood consumption on campus, and engage students in sustainability. Chefs, nutritionists and food activists have advised an increase in seafood consumption, but the traditional seafood supply chain is riddled with fraud, slave labor, and environmental issues. Choosing the right fish to serve in college foodservice programs shapes the global seafood industry, our health, and the health of our oceans. In this workshop, you'll take a fast-paced journey through how institutions transition to sustainable seafood. We share lessons learned from leading foodservice programs on using campus engagement and innovative sourcing to help universities serve healthy, delicious, sustainable and affordable seafood that aligns with campus values and budget, like West Coast Groundfish and the Atlantic Spiny Dogfish. We'll look at how sustainability leaders can engage their foodservice managers, chefs, and suppliers to support the recovery of their domestic waterways. Please join us as we learn how serving better fish can help our sustainability programs, our students and our oceans.",Changing Tastes,8296,Monterey Bay Aquarium,2920,Sea to Table,7758,University of Colorado Boulder,2130,,,,,,,Food & Dining,Public Engagement,Purchasing,,,seafood,10/17/2017,AASHE,Presentation,Arlin Wasserman,Partner,Changing Tastes,8296,Sheila Bowman,Seafood Watch Manager of Cuinary and Strategic Initiatives,Monterey Bay Aquarium,2920,Michael Dimin,Founder,Sea to Table,7758,Michael Dimin,Founder,Sea to Table,7758,Paul Houle,Director of Campus Dining,University of Colorado Boulder,2130,,,,,,,,,,,,,1445_Dimin.pdf,1445_Wasserman.pdf,,
Incorporating Sustainability in Traditional Writing and Humanities Courses,"In this session, participants will learn about two different approaches to incorporating sustainability in First-Year Composition courses. The first presentation will report on a pilot project that aimed to model small scale, discipline-focused collection and dissemination of sustainability infused syllabi and course materials. Presenters will explain project goals, dynamics that make this intervention difficult to maintain and insights received into why acceptance and curricular follow through has been hard to achieve. Presenters will offer best practice recommendations for faculty and researchers from other disciplines who may be interested in opening a line of inquiry into sustainability curricula in their own local disciplinary communities. The second presentation will exemplify how two instructors, at a Hispanic-Serving Institution, redesigned their First-Year Writing courses around the social dimension of sustainability to empower students considered academically under-prepared for college work. Presenters will talk about how to recognize students' diverse experiences, and their socio-cultural, linguistic, and educational backgrounds. Presenters will show a 15-week course design that guides students to explore embedded social issues affecting their local communities. Participants will be invited to reflect on their teaching methods and discuss best practices to infuse their courses with innovative pedagogies that strengthen student learning.",Texas A&M University-Texarkana,7987,University of Arkansas,4466,University of Texas Rio Grande Valley,3868,,,,,,,,,Curriculum,,,Humanities (except languages),,"first year experience,courses",10/16/2017,AASHE,Presentation,Joseph Burzynski,Assistant Professor of English,Texas A&M University-Texarkana,7987,Erin Gloster,Student,University of Arkansas,4466,Joshua McGuire,Graduate Student,Texas A&M University-Texarkana,7987,Marcela Hebbard,,University of Texas Rio Grande Valley,3868,Yemin Sanchez,"Writing & Language Studies, Lecturer II",University of Texas Rio Grande Valley,3868,,,,,,,,,,,,,1130_Hebbard.pdf,,,
Best Practices for Supporting Campus Food Security,"Hunger is present on college campuses across the United States. As literature increases, awareness surrounding challenges in supporting severely food insecure college students has become more apparent, as well. This session will examine programs at Arizona State University, Southern Illinois University, and the University of Utah aimed at reducing food waste and/or increasing food access for students with the aim of alleviating short-term hunger and food insecurity. As longer-term strategic interventions, these programs concurrently aim to redress underlying issues affecting students' food insecurity by providing holistic, sustainable, multifaceted and resilient interventions related to systemic inequities",Arizona State University,4531,Southern Illinois University Carbondale,3682,University of Utah,3994,,,,,,,,,Food & Dining,Waste,,,,"food security,hunger,food waste",10/17/2017,AASHE,Presentation,Kaysey England,,Arizona State University,4531,Rebecca Bender,Undergraduate Student,Arizona State University,4531,Geory Kurtzhals,Sustainability Coordinator,Southern Illinois University Carbondale,3682,Shannon Jones,"Associate Instructor, Project Lead: Food, Movement, and U.",University of Utah,3994,Nick Knight,Student,University of Utah,3994,,,,,,,,,,,,,0915_Jones.pdf,,,
A Guide to Using the new Campus Carbon and Nitrogen Footprint Tool,"A new version of the web-based Campus Carbon Calculator will be launched in fall 2017: SIMAP (Sustainability Indicator Management and Analysis Platform). Join us for this session to learn about the new and exciting features of this integrated tool, including additional environmental impacts (nitrogen pollution) and sectors (food). What new environmental impacts are in SIMAP? With your data entry, the tool will calculate both your carbon and nitrogen footprint. The nitrogen footprint will quantify your campus' impact on nitrogen pollution, which contributes to environmental impacts ranging from the local scale (water quality, air quality, biodiversity loss) to the global scale (climate change, the ozone hole). What are the new sectors in SIMAP? Food purchases, which have an upstream carbon and nitrogen footprint, will be an important addition. The tool will quantify how different food purchases will impact your footprints. What features will SIMAP incorporate? The updated platform has a more user-friendly and reliable interface. Other new features include import/export with Excel, customizable emissions factors, and an improved results dashboard. At this session, we will present SIMAP, demonstrate its use, facilitate interactive breakout groups (please bring your laptops!), and answer questions. This session will help prepare anyone who assesses their campus' sustainability for the transition to this new and exciting campus footprint tool!",University of New Hampshire,0724,University of Virginia,4028,,,,,,,,,,,Coordination & Planning,Air & Climate,Food & Dining,,,"carbon footprint,nitrogen,nitrogen footprint",10/17/2017,AASHE,Presentation,Allison Leach,PhD Candidate,University of New Hampshire,0724,Jennifer Andrews,Project Director,University of New Hampshire,0724,Elizabeth Castner,Nitrogen Footprint Project Manager,University of Virginia,4028,James Galloway,,University of Virginia,4028,Elizabeth Milo,,University of Virginia,4028,,,,,,,,,,,,,0915_Leach_2655.pdf,,,
"Breaking Through the ""Green Ceiling"": Sustainability as a Path to Executive Leadership","One way to measure the value of sustainability in higher education is to determine whether any of our more experienced and successful members have climbed the ladder and been promoted to executive-level positions, such as VP, EVP/Provost or even President. If not, why not? Is there a 'green ceiling?' If so, how might we overcome these limiting stereotypes? Granted, oversight of sustainability for a college or university is still a relatively young profession, 20 years at most. But, if we are as interdisciplinary, all-encompassing and mission-critical to the academy as our recent AASHE-developed value statement would suggest, that should be enough time to see sustainability professionals rising to these kinds of senior leadership positions. This one-hour panel discussion will examine these issues from multiple perspectives, including that of a senior administrator, NACUBO director, and executive search consultant. We'll also summarize relevant results from AASHE's 2017 sustainability staffing survey, which indicate how close (or far) we are from the top leadership positions, based on the traditional executive-readiness metrics of salary, reporting structure, job title, education level, budget, staff and direct reports. Are we perceived as broad generalists and collaborative managers, who work across our institutions, or as narrow specialists, lacking in management experience? We'll also discuss ways to break through the 'green ceiling' and maximize leadership potential.",University of Connecticut,2131,National Association of College & University Business Officers,2385,Princeton University,2597,AASHE,5016,Korn Ferry International,8306,,,,,Coordination & Planning,,,,,"executives,sustainability officers,professional development,leadership",10/16/2017,AASHE,Presentation,Rich Miller,Director,University of Connecticut,2131,Sally Grans Korsh,"Director, Facilities Management & Environmental Policy",National Association of College & University Business Officers,2385,Kyu Whang,Vice President for Facilities,Princeton University,2597,Monika Urbanski,Data & Content Manager,AASHE,5016,Paul Chou,Co-Managing Director,Korn Ferry International,8306,,,,,,,,,,,,,1130_Miller_2191.pptx,,,
Climate Leadership Commitment Signatory Networking Session,"Climate Leadership Commitment Implementation Liaisons and those interested in learning about the Climate Leadership Network will hear from Second Nature staff about recent accomplishments, progress, and activities. This includes progress on the first 2 years of the Climate Commitment, launch and improvements in the new Reporting Platform, and tools for a resilience assessment. Attendees will have a chance to meet fellow Implementation Liaisons, ask questions, and provide input to shape future Climate Leadership Network activities.",Second Nature,0123,,,,,,,,,,,,,Air & Climate,Coordination & Planning,,,,climate commitments,10/16/2017,AASHE,Presentation,Tim Carter,President,Second Nature,0123,Janna Cohen-Rosenthal,Climate Programs Director,Second Nature,0123,Stephen Ellis,Climate Programs Manager,Second Nature,0123,Ruby Woodside,Innovative Services Manager,Second Nature,0123,,,,,,,,,,,,,,,,,1645_CohenRosenthal_2246.pdf,,,
Aligning Endowment Investments with the Paris Climate Agreement & the Sustainable Development Goals,"The past few years have seen a surge in interest and activity around how endowment investment practices can be better aligned with institutional mission, values, and sustainability goals. In large part, this activity has been driven by stakeholder calls for divestment from fossil fuels. Whether or not they divest, endowment decision-makers are increasingly looking for opportunities to align investments with sustainability goals and shift capital to sustainability solutions. The Paris Climate Agreement and Sustainable Development Goals (SDGs) provide a compelling framework to contextualize the sustainability leadership of American colleges and universities. This session will include a moderated discussion among leaders in the higher ed sustainability movement and investment professionals about how the Paris Agreement and SDGs can serve as a framework for endowment investing. Through facilitated dialogue exercises, participants of this session will share where their institutions stand in terms of sustainable endowment investing, learn how to leverage this framework to enhance endowment investing, and be invited to join and help shape the future of the Intentional Endowments Network.",Global Endowment Management,8297,Intentional Endowments Network,7689,Edison Energy,8202,Second Nature,0123,,,,,,,Investment & Finance,Coordination & Planning,Public Engagement,,,"endowment,Sustainable Development Goals (SDGs),climate commitments,Paris Climate Agreement",10/17/2017,AASHE,Presentation,Meredith Heimburger,Director of Sustainability,Global Endowment Management,8297,Nicole Harman,Program Associate,Intentional Endowments Network,7689,Christopher O'Brien,Director of Higher Education Programs; Adjunct Faculty,Edison Energy,8202,Janna Cohen-Rosenthal,Climate Programs Director,Second Nature,0123,,,,,,,,,,,,,,,,,1445_Harman_2523.pdf,,,
"Comparing Move Out Programs: Sharing Perspectives on Waste Diversion, Campus & Community Collaboration, & Sustainability Goals.","Be part of an interactive discussion where 4 universities share their move out program from the perspectives of Housing, Sustainability, Facilities & Surplus & learn ways to advance sustainability, reuse & diversion strategies, & effective university and community collaboration models. Partnerships within campus & the community are vital for the successful coordination of move out programs. Laurier's program includes on & off campus students & invites community stakeholders to share perspectives & issues. Students there created the Something Golden program which resells items collected during move out to students. UI's program was also student initiated & has grown into a community-wide collaboration where partners are represented on the move out committee. This committee plans & implements a 4-day collection event. UW-Madison & CSU Surplus each partner with their respective Housing Departments to facilitate collection of donated items during move out. Hundreds of hours are spent processing thousands of pounds of items for recycling, sale, & donation. Processing at UW-Madison is completed by volunteers from student groups, courses offering academic incentives, alumni, & campus staff. At CSU, Surplus processes items & holds a public sale with net funds split between the Eco Leaders student org & Surplus. Each perspective presented provides a unique take on the logistics of program implementation & the importance of partnerships in establishing & expanding move out programs.",University of Wisconsin-Madison,4058,University of Iowa,1585,Wilfrid Laurier University,0183,Colorado State University,0828,,,,,,,Waste,Campus Engagement,Public Engagement,,,move-in & move-out,10/17/2017,AASHE,Presentation,Breana Nehls,,University of Wisconsin-Madison,4058,Beth MacKenzie,Recycling Coordinator,University of Iowa,1585,Tyler Plante,Coordinator: Outreach & Programs,Wilfrid Laurier University,0183,Jake Drenth,,Colorado State University,0828,,,,,,,,,,,,,,,,,0915_Drenth_2062.pptx,,,
Meatless Monday on Campus: How to VEG (or BEEF) up Your Campus Sustainability Efforts by Connecting to Students Through Food,"At the AASHE conference, Meatless Monday is how we connect sustainability through our food choices. In this session, we'll explore how to use the same approach to leverage Meatless Monday on your campus to help boost sustainability efforts, engage students through food, and help attract new students. Meatless Monday is one of the best-known initiatives for reducing meat consumption and for catalyzing changes in our diets. Since 2003, hundreds of campuses have implemented Meatless Monday. How it's done varies greatly - from promoting vegetarian specials to eliminating all meat on Monday. Until now, little has been done to look at the best way to change what we eat, Leading work by the Center for a Livable Future at Johns Hopkins, presented at the Paris Climate Conference, show that dietary change is a key part of achieving national and global climate goals, and that we will likely fall short without eating less meat. CLF interviewed college food service operators across the country to understand of how Meatless Monday is implemented, how it is perceived by students, staff and the larger institutions, and the extent to which it can help change student what they eat. This session will explore best practices for implementing Meatless Monday and meat reduction efforts on your campus food service program, how to get buy in and work with your foodservice team and other leaders on campus, and the power of college foodservice to change what we eat in the US and globally,",Changing Tastes,8296,The Monday Campaigns,8220,Johns Hopkins University,0515,Bon Appétit Management Company,0873,,,,,,,Food & Dining,Campus Engagement,,,,"vegan & vegetarian dining,meatless campaigns",10/16/2017,AASHE,Presentation,Arlin Wasserman,Partner,Changing Tastes,8296,Cherry Dumaual,PR & Partnerships Director,The Monday Campaigns,8220,Becky Ramsing,Center for a Livable Future,Johns Hopkins University,0515,Piper Fernwey,Community Programs and Sustainability Support Manager,Bon Appétit Management Company,0873,,,,,,,,,,,,,,,,,1045_Wasserman_2117.pdf,,,
Exploring the Web-based Promotion of Sustainability in KBOR Institutions: Strategies for Design & Implications for Practice,"To more fully understand how the concept of sustainability is represented by institutions of higher education in the state of Kansas, a scoping review of web-based content through university websites was conducted. The comparative content analysis assessed the online promotional strategies used to feature sustainability content by Kansas Board of Regents institutions (KBOR) (e.g., Emporia State, Fort Hays State, Kansas State, University of Kansas, Wichita State and Pittsburg State). Several broad categories were created to examine website functionality and content value including: website characteristics, sustainability concept and definition, institutional commitment, sustainability impacts and outcomes, community and partner recognition, resources and support, as well as other general content claims. Our study documents the report of findings for each of these areas and provides strategies for design and implications for practice.",Pittsburg State University,1234,,,,,,,,,,,,,Campus Engagement,Public Engagement,,,Communications & Marketing,"communications,websites,marketing",10/16/2017,AASHE,Poster,Alicia Mason,Associate Professor of Communication,Pittsburg State University,1234,Catherine Hooey,Professor of Geography,Pittsburg State University,1234,Derrick Decker,Student,Pittsburg State University,1234,Marina Stricklin,Student,Pittsburg State University,1234,,,,,,,,,,,,,,,,,,,,
"Innovation Districts: Collaborations of a City, a College and Corporations","Join Jane Talkington for an overview of Innovation Districts, a new form of economic development that challenges very different players in innovation ecosystems to build solidarity to achieve their goals. Lou Heldman of WSU shares the strategy of how innovation evolved through an 'innovation campus' effort into an 'innovation district' development adjacent to campus. Jim Walker explains the ongoing process used to develop anchors and relationships for the University of Texas at Austin. Bruce Milne of UMN reflects on the necessity of innovation districts to synthesize interdisciplinary growth to fuel economic development. Successful innovation is grown authentically from the distinctiveness of a place and the uniqueness of the institution; leave inspired to catalyze conversations on your campus.",Oklahoma State University,1071,The University of New Mexico,1466,University of Texas at Austin,3049,Wichita State University,1477,,,,,,,Buildings,Public Engagement,,,,"innovation,community partnerships,community development",10/17/2017,AASHE,Presentation,Jane Talkington,MSIS Postdoc,Oklahoma State University,1071,Bruce Milne,Professor,The University of New Mexico,1466,Jim Walker,Director of Sustainability,University of Texas at Austin,3049,Lou Heldman,"Vice President, Strategic Communications",Wichita State University,1477,,,,,,,,,,,,,,,,,1445_Heldman_2823.pdf,1445_Talkington_2823.pdf,1445_Milne_2823.pdf,
Sustainable Transportation Programs: Nationwide Trends & Practical Case Studies,"Emissions created by commuting-related activities are a major component of many institution's greenhouse gas inventories. Yet, these emissions sources are notoriously difficult to mitigate. There are a number of ways an institution can attempt to reduce these emissions by promoting commuter-targeted policies and programs. An analysis of AASHE STARS v.2.0 data shows that: 84% of institutions have implemented public transit/shuttle services; 29% offer incentives to live closer to work; and 23% are Bicycle Friendly Universities. This panel will begin with a brief overview of nationwide transportation trends. Then, shift to a focus on case studies of institutions that have successfully launched transportation programs. Eric Boles (from University of Arkansas) will provide insights about his institution's efforts to certify and improve ranking as a Bicycle Friendly University. Megan Litke (from American University) will provide insights about her institution's collaboration with the local transit authority to provide affordable and accessible public transit options. Erin Stanforth (from Virginia Commonwealth University) will provide insights about her institution's efforts to provide stakeholder access to Bike Share and Bus Rapid Transit programs. These case studies will provide attendees with real world experiences that are pertinent to implementing commuting programs and policies on their home campuses.",Sightlines,2222,American University,2613,University of Arkansas,4466,Virginia Commonwealth University,1546,,,,,,,Transportation,Air & Climate,,,,"commuting,STARS,bike-friendly,public transit,trends",10/17/2017,AASHE,Presentation,Heather Finnegan,Sustainability Product Manager,Sightlines,2222,Megan Litke,Director of Sustainability Programs,American University,2613,Eric Boles,Director of Sustainability,University of Arkansas,4466,Erin Stanforth,Director of Sustainability,Virginia Commonwealth University,1546,,,,,,,,,,,,,,,,,1445_Stanforth_2248.pptx,,,
