Program Name,Description or Abstract,Organization1,Organization1id,Sustainability Topic1,Sustainability Topic2,Academic Discipline1,Academic Discipline2,Academic Discipline3,Tag1,Tag2,Tag3,Program Type,Learning Outcomes,Expected Completion Time,Website1label,Website1URL
Urban Environmental Science Minor,"Students with an interest in the urban environment will find a wealth of opportunities and courses at ESF to prepare them for rewarding careers in understanding, developing and managing urban environments. Graduates of the program can make important professional contributions on issues ranging from urban forestry and urban wildlife, to urban air and water quality, population growth and urban sprawl, and environmental justice and equity. Successful completion of the minor will be noted on the student’s transcript.",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,"Urban, Community & Regional Planning",Environmental Studies & Sciences,,urban studies,urban focus,,Minor,,,Urban Environmental Science Minor,https://www.esf.edu/academics/minors.htm#ues
Forestry Minor,"The minor in forestry draws from the biological, physical, social, and managerial sciences. The curriculum aids in understanding the biological complexities of the forest and the interactions between the forest and social and economic demands. The minor is designed to provide students with an appreciation of forest resources management. Course themes include forest measurements, forest ecology, forest management and silviculture, and forest policy and economics.",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,Biological Sciences (includes Ecology),,,plant sciences,,,Minor,,,Forestry Minor,https://www.esf.edu/academics/minors.htm#f
Urban Forestry Minor,"The Urban Forestry minor will provide students with the opportunity to better understand complex human-dominated ecosystems where trees and people coexist in close proximity. Understanding and attempting to manage this complexity requires a basic knowledge of plant physiology, nutrition, and tending at the individual tree level (arboriculture). In addition, the urban forester also must understand the changing dynamic of groups of trees and the effects of those trees on numerous ecosystem services and human health and well-being in a city (urban forestry). Because human activity is so dominant in the urban ecosystem, it is essential that the urban forester have some understanding of ecological interactions and human motivations for sustaining and maintaining existing trees (urban ecology). The courses listed below will provide the professional knowledge required for careers in these and related fields.",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,"Urban, Community & Regional Planning",Biological Sciences (includes Ecology),,urban focus,plant sciences,,Minor,,,Urban Forestry Minor,https://www.esf.edu/academics/minors.htm#uf
"Environmental and Forest Biology (MS, MPS)","The graduate program in environmental and forest biology is organized in areas of study designed to provide a strong background within specific interest areas. Faculty with nationally and internationally recognized expertise define the scope of subject matter within each study area, recommend acceptance of students, and guide them through a course of study appropriate to student goals and aspirations. Most students develop a degree of depth and specialization in at least one large taxonomic group, such as plants, fungi, vertebrates, or insects.",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,Biological Sciences (includes Ecology),Environmental Studies & Sciences,,plant sciences,environmental science,,Master's Degree,,,"Environmental and Forest Biology (MS, MPS)",https://www.esf.edu/efb/graduate/
Environmental and Forest Biology (PhD),"The graduate program in environmental and forest biology is organized in areas of study designed to provide a strong background within specific interest areas. Faculty with nationally and internationally recognized expertise define the scope of subject matter within each study area, recommend acceptance of students, and guide them through a course of study appropriate to student goals and aspirations. Most students develop a degree of depth and specialization in at least one large taxonomic group, such as plants, fungi, vertebrates, or insects.",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,Biological Sciences (includes Ecology),Environmental Studies & Sciences,,plant sciences,environmental science,,Doctoral Degree,,,Environmental and Forest Biology (PhD),https://www.esf.edu/efb/graduate/
Environmental Leadership Certificate,"Students in the fully online Environmental Leadership certificate program will develop leadership skills in advocating for a values-driven, sustainable culture, staying current with ever-changing, but absolutely critical local, regional, national, and international policies, facilitating productive decision-making even in challenging situations, selecting appropriate tools, methods, and approaches to address society's most challenging environmental problems, identifying team members and facilitating collaborative problem-solving, and communicating and problem solving across cultural, organizational, and political boundaries.",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,"Business, Management, & Finance",,,leadership,,,Graduate Certificate/Diploma,,,Environmental Leadership Certificate,https://www.esf.edu/openacademy/online/el/
"Environmental Resources Engineering (MS, MPS)","The mission of the Environmental Resources Engineering Department is to engage in teaching, research and service to advance environmental resources engineering practices and meet the needs of the world. Faculty strengths are in ecological engineering, geospatial engineering, water resources engineering, and the broader field of environmental resources engineering. Teaching includes innovative class, lab, and field exercises in foundational and advanced engineering topics, where the flexible curriculum allows students to focus on traditional or novel engineering practices. Students receive a well-balanced education, including courses that allow students to see the social, economic, and environmental impacts of engineering practice, fundamental engineering and environmental engineering courses, and specialized courses that capture the breadth of their field of study.",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,Engineering,Environmental Studies & Sciences,,environmental engineering,natural resources,,Master's Degree,,,"Environmental Resources Engineering (MS, MPS)",https://www.esf.edu/ere/
Environmental Resources Engineering (PhD),"The mission of the Environmental Resources Engineering Department is to engage in teaching, research and service to advance environmental resources engineering practices and meet the needs of the world. Faculty strengths are in ecological engineering, geospatial engineering, water resources engineering, and the broader field of environmental resources engineering. Teaching includes innovative class, lab, and field exercises in foundational and advanced engineering topics, where the flexible curriculum allows students to focus on traditional or novel engineering practices. Students receive a well-balanced education, including courses that allow students to see the social, economic, and environmental impacts of engineering practice, fundamental engineering and environmental engineering courses, and specialized courses that capture the breadth of their field of study.",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,Engineering,Environmental Studies & Sciences,,environmental engineering,natural resources,,Doctoral Degree,,,Environmental Resources Engineering (PhD),https://www.esf.edu/ere/
"Paper Science and Engineering (MS, MPS)","The PSE program offers these areas of study: Pulping and Bleaching Processes (M.S., Ph.D.), Colloidal Chemistry and Fiber Flocculation (M.S., Ph.D.), Fiber and Paper Physics (M.S., Ph.D.), Process and Environmental Systems Engineering (M.P.S., M.S., Ph.D.), and Pulp and Paper Technology (M.P.S.)",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,Engineering,,,environmental engineering,natural resources,,Master's Degree,,,"Paper Science and Engineering (MS, MPS)",https://www.esf.edu/pbe/graduate/pse.asp
Paper Science and Engineering (PhD),"The PSE program offers these areas of study: Pulping and Bleaching Processes (M.S., Ph.D.), Colloidal Chemistry and Fiber Flocculation (M.S., Ph.D.), Fiber and Paper Physics (M.S., Ph.D.), Process and Environmental Systems Engineering (M.P.S., M.S., Ph.D.), and Pulp and Paper Technology (M.P.S.)",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,Engineering,,,environmental engineering,natural resources,,Doctoral Degree,,,Paper Science and Engineering (PhD),https://www.esf.edu/pbe/graduate/pse.asp
Sustainable Engineering Management (MPS),"The program in Sustainable Engineering Management allows students to investigate a variety of science and engineering topics together with courses in business, management, policy, law and other fields to form a Professional Science Master’s program (PSM) recognized by the Council of Graduate Schools.",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,Engineering,"Business, Management, & Finance",,environmental engineering,sustainable business,,Master's Degree,,,Sustainable Engineering Management (MPS),https://www.esf.edu/pbe/graduate/sem.asp
"Bioprocess Engineering (MS, MPS)","Biocatalysis is the study of biological and chemical processes involving biocatalysts, enzymes and proteins. This area of study prepares students for traditional “upstream” operations: principles of design and operation of bioreactors and fermenters. Chemical and biological processes often involve reactions at the interfaces of liquid and solid, and are frequently diffusion limited. Understanding of surface activities as well as effective modeling of the process kinetics enables the engineer to design processes with optimal yield, rate of reaction using appropriately sized equipment. These form the core of most bioprocesses in the industry. Pilot plant facilities in these areas are also available.",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,Engineering,Biological Sciences (includes Ecology),,environmental engineering,,,Master's Degree,,,"Bioprocess Engineering (MS, MPS)",https://www.esf.edu/pbe/graduate/bpe.asp
Bioprocess Engineering (PhD),"Biocatalysis is the study of biological and chemical processes involving biocatalysts, enzymes and proteins. This area of study prepares students for traditional “upstream” operations: principles of design and operation of bioreactors and fermenters. Chemical and biological processes often involve reactions at the interfaces of liquid and solid, and are frequently diffusion limited. Understanding of surface activities as well as effective modeling of the process kinetics enables the engineer to design processes with optimal yield, rate of reaction using appropriately sized equipment. These form the core of most bioprocesses in the industry. Pilot plant facilities in these areas are also available.",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,Engineering,Biological Sciences (includes Ecology),,environmental engineering,,,Doctoral Degree,,,Bioprocess Engineering (PhD),https://www.esf.edu/pbe/graduate/bpe.asp
"Biomaterials Engineering (MS, MPS)","Various composites incorporating materials derived from bioresources such as lignocellulosics are critical to the future of sustainable development. This research area is focused toward training students on the design and performance of various composites engineered from sustainable and renewable materials. Biopolymers such as polylactic acid (PLA) and polyhydroxyalkanoates (PHA) are of particular interest for production from plant- or tree-based resources. These polymers, besides being produced from sustainable resources, degrade quickly in the environment and reduce the environmental footprint of the products. Therefore they contribute to sustainable living besides incorporating green processing principles. They also avoid the use of fossil carbon sources helping mitigate climate change effects in the environment.",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,Engineering,Biological Sciences (includes Ecology),,environmental engineering,,,Master's Degree,,,"Biomaterials Engineering (MS, MPS)",https://www.esf.edu/pbe/graduate/bme.asp
Biomaterials Engineering (PhD),"Various composites incorporating materials derived from bioresources such as lignocellulosics are critical to the future of sustainable development. This research area is focused toward training students on the design and performance of various composites engineered from sustainable and renewable materials. Biopolymers such as polylactic acid (PLA) and polyhydroxyalkanoates (PHA) are of particular interest for production from plant- or tree-based resources. These polymers, besides being produced from sustainable resources, degrade quickly in the environment and reduce the environmental footprint of the products. Therefore they contribute to sustainable living besides incorporating green processing principles. They also avoid the use of fossil carbon sources helping mitigate climate change effects in the environment.",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,Engineering,Biological Sciences (includes Ecology),,environmental engineering,,,Doctoral Degree,,,Biomaterials Engineering (PhD),https://www.esf.edu/pbe/graduate/bme.asp
"Wood Science (MS, MPS)","Students with interest in Engineered Wood Products and Structures should have a strong background in integral calculus, statics, mechanics, and mechanical and physical properties of wood. The behavior of wood and wood-based components under loads and the effects of duration of the loads are critical elements when developing engineering codes. Wooden components as small as dowels or as large as bridge beams are considered, using elements of materials science, engineering mechanics and structural engineering. Basic property knowledge, employing theories of elasticity, visco-elasticity and fracture mechanics, is coupled with computer-aided design data to analyze the performance of wood and to solve application problems, such as those encountered in wood-frame construction and timber utility structures. How such factors as chemical fire retardant treatments, adhesive performance and mechanical fastener design interact with use requirements is considered. National and international design codes and their development play an important role in specifying research areas of current interest and need. Fabrication and testing of actual components such as trusses, composite beams, and furniture connections are completed in the department’s Wood Engineering Laboratory.",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",Engineering,,natural resources,environmental engineering,,Master's Degree,,,"Wood Science (MS, MPS)",https://www.esf.edu/pbe/graduate/woodscience.asp
Wood Science (PhD),"Students with interest in Engineered Wood Products and Structures should have a strong background in integral calculus, statics, mechanics, and mechanical and physical properties of wood. The behavior of wood and wood-based components under loads and the effects of duration of the loads are critical elements when developing engineering codes. Wooden components as small as dowels or as large as bridge beams are considered, using elements of materials science, engineering mechanics and structural engineering. Basic property knowledge, employing theories of elasticity, visco-elasticity and fracture mechanics, is coupled with computer-aided design data to analyze the performance of wood and to solve application problems, such as those encountered in wood-frame construction and timber utility structures. How such factors as chemical fire retardant treatments, adhesive performance and mechanical fastener design interact with use requirements is considered. National and international design codes and their development play an important role in specifying research areas of current interest and need. Fabrication and testing of actual components such as trusses, composite beams, and furniture connections are completed in the department’s Wood Engineering Laboratory.",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",Engineering,,natural resources,environmental engineering,,Doctoral Degree,,,Wood Science (PhD),https://www.esf.edu/pbe/graduate/woodscience.asp
Forest Management and Operations (MF),"The primary focus of the program is to provide an opportunity for graduates coming from diverse academic backgrounds with non-forestry baccalaureates to gain a professional education in forestry. As such, the program is designed to be the first professional degree in forestry attained by a student. Graduates will successfully function as professional foresters on multi-disciplinary forest management teams and respond to the challenges related to the sustainable management of local, regional, and global forest resources.",State University of New York College of Environmental Science and Forestry,1404,Curriculum,,"Recreation, Leisure, & Tourism",Biological Sciences (includes Ecology),,natural resources,recreation,,Master's Degree,,,Forest Management and Operations (MF),https://www.esf.edu/fnrm/graduate/fmo.htm
Sustainability Studies,"In Goshen's Sustainability Studies program, students will learn to think deeply about complex environmental and social problems in our society, but will also have many chances to practice learned material through real-world problem-solving. In any given semester students will go on a variety of field trips to learn how professionals and community members do their jobs and how they connect to sustainability, but will also be learning practical skills like baking bread, preserving food and canoeing as a form of local tourism.",Goshen College,2314,Curriculum,,Sustainability Studies & Science,,,sustainability studies,,,Baccalaureate degree,,,Sustainability Studies,https://www.goshen.edu/academics/sustainability-studies/
Sustainable Food Systems,"Learning about agriculture at Goshen will be based in the campus' Merry Lea Sustainable Farm — where 10 acres of fruits, vegetables, nuts and livestock are raised — and extends out to a wide network of farms, food businesses and nonprofits that the College is connected to in our region. By visiting these professionals and working alongside them and peers, students will pair deep learning about food systems with a wide range of practical skills that will be helpful now and in their future careers.",Goshen College,2314,Curriculum,,Agriculture,Sustainability Studies & Science,,sustainable agriculture,sustainability studies,,Baccalaureate degree,,,Sustainable Food Systems,https://www.goshen.edu/academics/sustainable-food-systems/
Sustainability Management,"With a degree in sustainability management, students will learn to understand the relationship between global ecology and the business world, work to find creative solutions for the problems our world faces, and make a lasting impact on the health of their community and world. This holistic view of doing business places equal emphasis on the planet, people, and profit, a concept referred to as the triple bottom line, which has always been a core value of the business program.",Goshen College,2314,Curriculum,,"Business, Management, & Finance",Sustainability Studies & Science,,sustainable business,sustainability studies,,Baccalaureate degree,,,Sustainability Management,https://www.goshen.edu/academics/sustainability-management/
Sustainability Minor,"In Goshen's Sustainability Studies program, students will learn to think deeply about complex environmental and social problems in our society, but will also have many chances to practice learned material through real-world problem-solving. In any given semester students will go on a variety of field trips to learn how professionals and community members do their jobs and how they connect to sustainability, but will also be learning practical skills like baking bread, preserving food and canoeing as a form of local tourism.",Goshen College,2314,Curriculum,,Sustainability Studies & Science,,,sustainability studies,,,Minor,,,Sustainability Minor,https://www.goshen.edu/academics/sustainable-food-systems/
Environmental and Marine Science,"As an environmental and marine science major, students can choose to concentrate in ecology or earth & climate science. Students will take classes at the college’s Merry Lea Environmental Learning Center, the campus' 1,189-acre nature preserve and field laboratory. Merry Lea also offers residential programs like the Sustainability Leadership Semester, where students will investigate local wetlands and prairies and live with other students in Rieth Village’s green buildings. In choosing Goshen College’s environmental and marine science major, or environmental studies minor, students are joining a community of scholars committed to working toward restorative solutions for our world’s sustainability challenges.",Goshen College,2314,Curriculum,,Environmental Studies & Sciences,Biological Sciences (includes Ecology),,environmental science,marine studies,,Baccalaureate degree,,,Environmental and Marine Science,https://www.goshen.edu/academics/environmental-marine-science/
Sustainability Management Minor,"With a degree in sustainability management, students will learn to understand the relationship between global ecology and the business world, work to find creative solutions for the problems our world faces, and make a lasting impact on the health of their community and world. This holistic view of doing business places equal emphasis on the planet, people, and profit, a concept referred to as the triple bottom line, which has always been a core value of the business program.",Goshen College,2314,Curriculum,,"Business, Management, & Finance",Sustainability Studies & Science,,sustainable business,sustainability studies,,Minor,,,Sustainability Management Minor,https://www.goshen.edu/academics/sustainability-management/
Shepherd Poverty Studies Minor,"The mission of the Shepherd Poverty Program is to understand and address poverty in ways that respect the dignity of every person. Students weave together poverty-related courses across campus (economics, education, law, philosophy, politics, sociology, and more) and hands-on service and internship experiences across the county, the country, and the world to supplement their major areas of study. Those pursuing a minor in poverty studies also undertake capstone research projects that connect their concerns about poverty and inequality with their future civic and professional lives.",Washington and Lee University,0088,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",,,poverty,service learning,economics,Minor,,,Shepherd Poverty Studies Minor,https://my.wlu.edu/the-shepherd-program/academics/about-the-minor
Environmental Science,"The environmental science program focuses on scientific approaches to solving environmental problems. Students can earn an environmental science minor that complements any major, or they can complete an environmental science major with a concentration in biology, chemistry, or geology.",Hope College,4504,Curriculum,,Environmental Studies & Sciences,,,environmental science,,,Baccalaureate degree,,,Environmental Science,https://hope.edu/catalog/current/environmental-science/index.html
Environmental Studies Minor,"The student who minors in environmental studies may major in anything. For students who major in one of the natural sciences, one of the environmental studies GEMS courses may be replaced by other appropriate science courses, with the permission of the program director. For a student who decides to minor in both environmental science and environmental studies, such a double minor does not constitute a major.",Hope College,4504,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,Minor,,,Environmental Studies Minor,https://hope.edu/catalog/current/environmental-studies/index.html
Environmental Science Minor,"The Environmental Science Minor helps students acquire the background they need to be successful environmental scientists or, for those not majoring in science, to use skills learned in their own major to work closely with environmental scientists. The Environmental Science minor is open to all students regardless of their major, but it is best suited for those who have some interest in science or engineering. Students should complete a semester of chemistry before taking 200 or 400 level environmental science courses.  Chemistry may be taken concurrently with permission of the instructor.",Hope College,4504,Curriculum,,Environmental Studies & Sciences,,,environmental science,,,Minor,,,Environmental Science Minor,https://hope.edu/catalog/current/environmental-science/index.html#environmental-science-major-with-a-concentration-in-biology
American Ethnic Studies Minor,"American Ethnic Studies students are encouraged to gain and develop skills to research, analyze and reflect on the heritage of racialized ethnic cultures in America. Such study will develop citizens, participants and activists who have views of their larger mission in life and who strive daily in the pursuit of justice and equality, both locally and globally. Course requirements and options available to minor candidates are as follows.",Hope College,4504,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",,,equity,racial equity,social justice,Minor,,,American Ethnic Studies Minor,https://hope.edu/catalog/current/american-ethnic-studies/index.html
Earth and Planetary Sciences,"The Earth and Planetary Sciences study the past, present, and future of the Earth and other planets. Scientists address fundamental scientific questions important for understanding the Earth and society’s connection to it. Courses in the degree program focus on physical, chemical, and biological processes affecting the Earth system spanning vast spatial and temporal scales, from the atomic to the interplanetary and from the origin of the solar system to the modern day.",Northwestern University,4748,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,geosciences,earth science,,Baccalaureate degree,,,Earth and Planetary Sciences,https://www.earth.northwestern.edu/undergraduate/index.html
Environmental Engineering Minor,"Environmental engineering has become an integral part of the engineering field as a whole, since it aims to mitigate the effects of human perturbations to the environment as a result of the development of society. The environmental engineering minor is designed for students who have an interest in incorporating environmental best practices into their careers as engineers.",Northwestern University,4748,Curriculum,,Engineering,Environmental Studies & Sciences,,environmental engineering,,,Minor,,,Environmental Engineering Minor,https://www.mccormick.northwestern.edu/civil-environmental/academics/undergraduate/environmental-engineering-minor.html
Civil and Environmental Engineering (MS),"The Department of Civil and Environmental Engineering in the McCormick School of Engineering and Applied Science at Northwestern University is a premier research and academic department. With award-winning, internationally renowned faculty members, the department provides graduate students with an exceptional range of opportunities to advance their knowledge and careers in a scholarly community that’s small enough to assure individual attention and effective mentoring. The department prepares graduate students to become the next generation of leaders in research, academic, corporate, and public service settings.",Northwestern University,4748,Curriculum,,Engineering,Environmental Studies & Sciences,,environmental engineering,,,Master's Degree,,,Civil and Environmental Engineering (MS),https://www.mccormick.northwestern.edu/civil-environmental/academics/graduate/
Civil and Environmental Engineering (PhD),"The Department of Civil and Environmental Engineering in the McCormick School of Engineering and Applied Science at Northwestern University is a premier research and academic department. With award-winning, internationally renowned faculty members, the department provides graduate students with an exceptional range of opportunities to advance their knowledge and careers in a scholarly community that’s small enough to assure individual attention and effective mentoring. The department prepares graduate students to become the next generation of leaders in research, academic, corporate, and public service settings.",Northwestern University,4748,Curriculum,,Engineering,Environmental Studies & Sciences,,environmental engineering,,,Doctoral Degree,,,Civil and Environmental Engineering (PhD),https://www.mccormick.northwestern.edu/civil-environmental/academics/graduate/
Global and Ecological Health Engineering Certificate,"Global and ecological health engineering knows no geographical boundaries. Appropriate health solutions to new and emerging challenges depend upon competent design and ecologically sustainable integration into local community, national, and global health systems.",Northwestern University,4748,Curriculum,,Engineering,Health Sciences & Medicine,Biological Sciences (includes Ecology),environmental health,engineering,,Graduate Certificate/Diploma,,,Global and Ecological Health Engineering Certificate,https://www.mccormick.northwestern.edu/civil-environmental/academics/graduate/environmental-engineering-science/global-ecological-health-engineering-certificate.html
Five-Year Dual Degree: Env. Sci BS / Master of Business Administration (MBA),"Solving the world’s environmental crises depends on how well businesses and consumers understand the implications of their products and practices, as well as how business leaders adopt strategies that allow for sustainability and profit to coexist. Loyola’s five year dual-degree in Environmental Science or Environmental Studies and Business Administration introduces students to the fundamental issues involved in global, environmental and ethical business practices. The academic content and direct, hands-on experiences within the Bachelors degrees will provide a base from which to develop skills and knowledge in the MBA program to promote and implement sustainable business practices.",Loyola University Chicago,1865,Curriculum,,"Business, Management, & Finance",Environmental Studies & Sciences,,sustainable business,environmental science,,Master's Degree,,,Five-Year Dual Degree: Env. Sci BS / Master of Business Administration (MBA),https://www.luc.edu/sustainability/academics/dualdegreeprograms/mba/
Urban Affairs and Public Policy (MPP),"At Loyola University Chicago, the Masters in Urban Affairs and Public Policy (MUAPP) Program is located in the heart of Chicago, one of the nation's most significant areas for research and career opportunities in urban affairs. Students will gain access to all the city has to offer through a stimulating internship, a vibrant campus life, top-notch faculty members, and a challenging curriculum that pushes students to confront urban problems directly.",Loyola University Chicago,1865,Curriculum,,"Urban, Community & Regional Planning",Public Administration & Policy,,urban focus,,,Master's Degree,,,Urban Affairs and Public Policy (MPP),https://www.luc.edu/muapp/
Environmental Law & Policy,"This Concentration provides essential knowledge in relevant areas of environmental law and policy for professionals who want to better understand the role of government, industry, non-profit, and other institutions involved in environmental advocacy, consulting, and compliance.",Loyola University Chicago,1865,Curriculum,,Law & Legal Studies,Public Administration & Policy,,environmental law,environmental policy,,Graduate Certificate/Diploma,,,Environmental Law & Policy,https://www.luc.edu/sustainability/academics/graduatecertificates/
Sustainability Assessment and Reporting,"This Concentration delivers valuable skills for professionals who want to better understand how organizations can - and do – measure, regulate and report their own natural resource use. Students will develop essential skills used by sustainability professionals in government, industry, non-profit, and other institutions striving to improve and document their sustainability impact.",Loyola University Chicago,1865,Curriculum,,Sustainability Studies & Science,,,sustainability reporting,assessment,,Graduate Certificate/Diploma,,,Sustainability Assessment and Reporting,https://www.luc.edu/sustainability/academics/graduatecertificates/
Environmental Science & Resource Management,"Today’s environmental problems call for individuals who are educated in more than one discipline, highly trained in technical skills, and aware of the political, economic, and social dimensions of environmental decisions. The Bachelor of Science in Environmental Science and Resource Management (ESRM) provides solid training in basic physical, biological, and social sciences, and application of management science to reduce adverse impacts of human activity on the environment and to maximize the benefits that accrue from environmental resources.","California State University, Channel Islands",1220,Curriculum,,Environmental Studies & Sciences,Biological Sciences (includes Ecology),,environmental science,natural resources,,Baccalaureate degree,,,Environmental Science & Resource Management,https://esrm.csuci.edu/programs/
Environmental Communication,"The Communication Program at CI is the only undergraduate program in the California State University system to offer a specialty in Environmental Communication. Students gain a deep understanding of how our language shapes our interactions with the natural world. Specifically they also gain practical skills in environmental conflict resolution and resource management, as well as engage in service-learning opportunities through field trips to Santa Rosa Island.","California State University, Channel Islands",1220,Curriculum,,Environmental Studies & Sciences,"Communication, Media Studies, & Journalism",,communications,environmental studies,,Baccalaureate degree,,,Environmental Communication,https://communication.csuci.edu/programs/environmental-communication.htm
Environmental Science & Resource Management Minor,"The Environmental Science and Resource Management minor provides non-majors with the opportunity to explore environmental issues and examine human impacts on natural systems. It provides students with an understanding of how their personal choices affect the environment around them. In addition, it equips students for further study in environmental science, law, policy, or management.","California State University, Channel Islands",1220,Curriculum,,Environmental Studies & Sciences,Biological Sciences (includes Ecology),,environmental science,natural resources,,Minor,,,Environmental Science & Resource Management Minor,https://esrm.csuci.edu/programs/minor.htm
"Environmental Studies, Preparation for Teaching (BA)","This major, offered by the Department of Environmental Studies, is designed for students interested in teaching in elementary school or middle school. Students who wish to pursue a high school teaching career should complete a BA or BS in Environmental Studies in consultation with the department’s undergraduate advisor for teaching.",San Jose State University,2847,Curriculum,,Environmental Studies & Sciences,Education,,environmental education,environmental studies,,Baccalaureate degree,,,"Environmental Studies, Preparation for Teaching (BA)",https://catalog.sjsu.edu/preview_program.php?catoid=2&poid=622
Earth Science (BA),"The B.A. in Earth Science provides a broad background in the Earth Sciences. It is a path for students planning on teaching science in middle schools and high schools, or who are interested in interdisciplinary fields such as environmental and sustainability issues.",San Jose State University,2847,Curriculum,,Education,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,environmental education,earth science,geosciences,Baccalaureate degree,,,Earth Science (BA),https://www.sjsu.edu/geology/program/undergraduate/ba-earthscience/index.html
Global Studies (BA),"Global Studies, offered by SJSU’s Department of Environmental Studies, is an interdisciplinary program that encourages students to look at the world holistically. The tremendous international migrations of people, movements of goods, technology transfers, and mixing of cultures makes it important to study the world as a human community in ways we haven’t considered in the past. The program is designed to train future leaders to grapple with some of the most pressing issues of our time, from a global perspective. The focus of our program on studying global issues from multiple perspectives provides students the intellectual foundation and the analytical and communication skills to prepare for careers in government, education, NGOs, international development agencies, international philanthropic organizations, law, consulting, global health organizations, writing, and graduate study. We are the only Global Studies program in the San Francisco Bay Area and one of the few in the CSU system that offers an interdisciplinary program that includes a suite of core courses in Global Studies. Global Studies is a relatively new field and our program is at the leading edge of shaping this field for the future.",San Jose State University,2847,Curriculum,,Environmental Studies & Sciences,"Social Sciences (Economics, Geography, Political Science, etc)",,international focus,environmental studies,,Baccalaureate degree,,,Global Studies (BA),https://catalog.sjsu.edu/preview_program.php?catoid=2&poid=645
Environmental Impact Assessment Minor,"The minor in Environmental Impact Assessment is offered by the Department of Environmental Studies. The minor requires a minimum of 42 credits across courses in environmental law, environmental impact analysis, and environmental racism.",San Jose State University,2847,Curriculum,,Environmental Studies & Sciences,,,sustainability reporting,assessment,environmental studies,Minor,,,Environmental Impact Assessment Minor,https://catalog.sjsu.edu/preview_program.php?catoid=2&poid=614
Environmental Justice Minor,"The minor in Environmental Justice is offered by the Department of Environmental Studies. The minor requires a minimum of 18 units across courses in community-based participatory research, environmental racism, and black studies.",San Jose State University,2847,Curriculum,,Environmental Studies & Sciences,"Social Sciences (Economics, Geography, Political Science, etc)",,environmental justice,environmental racism,,Minor,,,Environmental Justice Minor,https://catalog.sjsu.edu/preview_program.php?catoid=2&poid=615
Environmental Restoration Minor,"The minor in Environmental Restoration is offered by the Department of Environmental Studies. The minor requires a minimum of 24 units across courses in biology, sustainable agriculture, conservation, and environmental restoration.",San Jose State University,2847,Curriculum,,Environmental Studies & Sciences,,,conservation,ecological restoration,,Minor,,,Environmental Restoration Minor,https://catalog.sjsu.edu/preview_program.php?catoid=2&poid=617
Environmental Studies Minor,"The minor in Environmental Studies is offered by the Department of Environmental Studies. The minor requires a minimum of 19 units across courses in environmental law, environmental impact analysis, and energy and the environment.",San Jose State University,2847,Curriculum,,Environmental Studies & Sciences,,,environmental studies,,,Minor,,,Environmental Studies Minor,https://catalog.sjsu.edu/preview_program.php?catoid=2&poid=618
Global Studies Minor,"SJSU’s Department of Environmental Studies offers the Minor in Global Studies as an interdisciplinary program that encourages students to look at the world holistically. The tremendous international migration of people, movements of goods, technology transfers, and mixing of cultures makes it important to study the world as a human community in ways we haven’t considered in the past. The program is designed to train future leaders to grapple with some of the most pressing issues of our time, from a global perspective. The focus of our program on studying global issues from multiple perspectives provides students the intellectual foundation and the analytical and communication skills to prepare for careers in government, education, NGOs, international development agencies, international philanthropic organizations, law, consulting, global health organizations, writing, and graduate study. We are the only Global Studies program in the San Francisco Bay Area and one of the few in the CSU system that offers an interdisciplinary program that includes a suite of core courses in Global Studies. Global Studies is a relatively new field and our program is at the leading edge of shaping this field for the future.",San Jose State University,2847,Curriculum,,Environmental Studies & Sciences,"Social Sciences (Economics, Geography, Political Science, etc)",,international focus,environmental studies,,Minor,,,Global Studies Minor,https://catalog.sjsu.edu/preview_program.php?catoid=2&poid=644
