Program Name ,Description,Organization1,Organization1 ID,Organization2,Organization2 ID,Topic1,Topic2,Acad Discipline1,Acad Discipline2,Acad Discipline3,Tag1,Tag2,Tag3,Tag4,Year Founded (200x),Program Type,Learning Outcomes,Expected completion time,Approx # students completing program annually,Distance Ed.,Commitment,Link URL
Earth Science with a Climate & Environment Emphasis,"This major employs an integrated view of the earth as a dynamically linked system. Students take traditional geology courses while pursuing coursework in related disciplines, such as ocean, atmospheric, and earth-surface processes. ","University of California, Santa Barbara",4169,,,Curriculum,,"Physical & Earth Sciences (Chemistry, Geology, Atmospheric Sciences, etc)",,,earth science,,,,,Specialization/Concentration/Emphasis,,,,,,http://www.sustainability.ucsb.edu/undergraduate-program/
"Sustainability Concentration, Public Service & Public Policy (BS)","The BS program in public service and public policy prepares students for work in government at all levels and nonprofit organizations through comprehensive coverage of topics in public policy, public leadership and management, and urban studies. Sustainability continues to be a highly sought-after area and it presents broad policy implications. Through this concentration, students explore the challenges of sustainability and how it may be used to develop solutions to pressing issues at local and global levels. ",Arizona State University,4531,,,Curriculum,,Public Administration & Policy,Sustainability Studies & Science,,environmental policy,,,,,Specialization/Concentration/Emphasis,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/PPPAFSBS/undergrad/false
Environmental Politics & Policy concentration in Political Science (MA/PhD),The Department’s Environmental Politics and Policy concentration is designed to help students develop the knowledge and skills to analyze the connections between politics and the natural world and pursue careers in environmental politics and policy-making. ,Colorado State University,828,,,Curriculum,,Public Administration & Policy,"Social Sciences (Economics, Geography, Political Science, etc)",,environmental policy,,,,,Specialization/Concentration/Emphasis,"Students will learn about how political forces contribute to environmental degradation, the process for developing environmental policies, strategies to assess the strengths and weaknesses of different policy approaches, and how political forces can be harnessed to develop effective responses to problems such as climate change, water and air pollution, food security, and energy provision. Students will explore these issues from both domestic and global perspectives. ",,,,,http://polisci.colostate.edu/environmental-politics-policy/
"Five-Year Dual Degree: Env. Policy BA, Master of Public Health","Students in Loyola University Chicago’s Master of Public Health (MPH) program are positioned to take advantage of the increased demand for public health professionals. What’s more, students gain the expertise to make a difference—by helping to bridge the disparities that exist along racial, economic, and environmental lines. Formal training in public health will enhance leadership skills and expand career prospects. ",Loyola University Chicago,1865,,,Curriculum,,Public Administration & Policy,Environmental Studies & Sciences,,environmental policy,,,,,Joint Degree,,,,,,http://www.luc.edu/sustainability/academics/dualdegreeprograms/mph/
Environmental Analysis & Policy Minor,The environmental studies program provides an opportunity for the systematic investigation of the natural world and the interaction of humans with their own environment. Environmental issues and conflicts of this century are highly complex and transcend traditional academic disciplines. ,University of Cincinnati,2081,,,Curriculum,,Public Administration & Policy,Environmental Studies & Sciences,,environmental policy,,,,,Minor,,,,,,https://webapps.uc.edu/DegreePrograms/Program.aspx?ProgramQuickFactsID=1371&ProgramOutlineID=319
Environmental Policy Minor,"Students completing this program will have demonstrated: the ability to apply science to understanding ecosystems and natural resources, the ability to understand the policy and social implications of environmental issues, the knowledge and skills to understand, analyze, address and manage the consequence of human actions on the physical, biological, and cultural world, the knowledge and skills to seek out the, information and resources necessary to understand complex environmental issues, the writing, speaking, and electronic communication skills needed to communicate with the public and professionals concerning the environmental sciences, the ability to apply critical thinking skills, as the basis for decision making and sound value judgments. ",Humboldt State University,3222,,,Curriculum,,Public Administration & Policy,Environmental Studies & Sciences,,environmental policy,,,,,Minor,,,,,,http://www2.humboldt.edu/environment/programs/minors/environmental-policy-minor
Environmental Policy Concentration in Public Policy (MPP),"The MPP program with a concentration in environmental policy prepares students at the master's degree level to apply sustainability principles and approaches to careers in a variety of fields that address environmental and, inevitably, human challenges. Students with a concentration in environmental policy will acquire the knowledge base and skills to bring sustainability solutions to corporate, government and nonprofit sectors. The concentration program begins by building a foundation in environmental policy and theory through the core coursework, followed by one elective that develops and deepens student expertise in specific areas and issues. ",Arizona State University,4531,,,Curriculum,,Public Administration & Policy,Environmental Studies & Sciences,,environmental policy,,,,,Specialization/Concentration/Emphasis,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/PPPUPEPMPP/graduate/false
"Public Affairs, Environmental Management (BS)","Part of the Bachelor of Science in Public Affairs, includes environmental science topics, while also studying management, risk assessment, environmental law, policy, and government finance. With an Environmental Management major, students are able to translate between the hard science and the policies and practices that governments, organizations, and businesses implement. ",Indiana University Bloomington,6354,,,Curriculum,,Public Administration & Policy,Environmental Studies & Sciences,,environmental policy,,,,,Baccalaureate degree,,,,,,https://spea.indiana.edu/undergraduate/majors-minors-certificates/environmental-management.html
Environmental Economics & Policy Minor,The minor will provide interested students with an overview of key concepts and methods used by economists to analyze problems associated with human use and misuse of natural resources and the environment and to evaluate policy options for better management of these resources for current and future generations. ,University of Connecticut,2131,,,Curriculum,,Public Administration & Policy,"Social Sciences (Economics, Geography, Political Science, etc)",Environmental Studies & Sciences,economics,environmental policy,,,,Minor,,,,,,http://catalog.uconn.edu/minors/environmental-economics-policy/
Environmental Policy Minor,"The program is designed to give master’s and doctoral level graduate students an opportunity to develop an interdisciplinary specialization in environmental policy. While administered through the Political Science Department, the program is coordinated by a committee of representatives from the following participating departments and programs – Agricultural Economics; Civil and Environmental Engineering; Ecology and Evolutionary Biology; Economics; Forestry, Wildlife and Fisheries; Geography; Management; Political Science; and Sociology. ",University of Tennessee at Knoxville,3031,,,Curriculum,,Public Administration & Policy,Environmental Studies & Sciences,,environmental policy,,,,,Minor,,,,,,http://catalog.utk.edu/preview_program.php?catoid=19&poid=7931
"Sustainable Tourism Concentration, Tourism Development & Management (BS)","The tourism development and management program provides students with the theoretical understanding necessary to maneuver the complexities of one of the world's largest industries. A concentration in sustainable tourism allows majors to hone their understanding of the key concepts of sustainability and of how these concepts can be applied to tourism destinations and development. Students will learn the dominant theories and language that make up sustainability science and the skills necessary to measure, create and implement sustainability policies in tourism destinations, from the planning to management stages of development. ",Arizona State University,4531,,,Curriculum,,"Recreation, Leisure, & Tourism",,,tourism,,,,,Specialization/Concentration/Emphasis,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/PPTDMSBS/undergrad/false
"Parks, Tourism & Recreation Management Major","The undergraduate program in Parks, Tourism, and Recreation Management provides students with the skills needed to work in the outdoor industry while also protecting natural resources. Students can choose an optional degree track in recreation resource management, nature-based tourism, and outdoor recreation services. ",University of Montana,2529,,,Curriculum,,"Recreation, Leisure, & Tourism",,,hospitality,tourism,,,,Baccalaureate degree,,,,,,http://www.cfc.umt.edu/ptrm/default.php
Sustainable Tourism & Hospitality Management Emphasis (BA/BS),"The study of tourism and hospitality generally, comprises an enormous breadth of fascinating topics. Among the many topics that are of concern to tourism and hospitality students are cultural and ethical implications of tourism, tourism policy, biodiversity and cultural heritage conservation, destination infrastructure and analysis, visitor management, customer service, meetings and event management, tourism economics, and destination marketing. ",University of Utah,3994,,,Curriculum,,"Recreation, Leisure, & Tourism",,,hospitality,tourism,,,,Specialization/Concentration/Emphasis,,,,,,http://www.health.utah.edu/health-kinesiology-recreation/recreation/degrees/undergraduate/sustainable-tourism-hospitality-management/index.php
Sustainable Tourism Certificate,"The certificate is designed to enable students and participants to undergo a focused concentration within their major or professional position on international issues in ecotourism and sustainable tourism development and acquire a unique pedagogical opportunity in experiential, service, and theoretical learning. ",University of Utah,3994,,,Curriculum,,"Recreation, Leisure, & Tourism",,,tourism,,,,,Undergraduate Certificate/Diploma,,,,,,http://www.health.utah.edu/parks-recreation-tourism/degrees/tourism-certificate.php
Parks & Recreation Management (BS),"The BS program in parks and recreation management provides a transdisciplinary education in the management of parks, protected areas, community-based recreation services and special-event management. The parks and recreation field emerged from the youth development, recreation and park movements of the late 19th century. Students learn to integrate the managerial, natural and social sciences to make informed decisions for recreation service delivery.",Arizona State University,4531,,,Curriculum,,"Recreation, Leisure, & Tourism",,,tourism,,,,,Baccalaureate degree,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/PPPRMBS/undergrad/false
Sustainable Tourism Minor,"As sustainability expands in popularity as a discipline, students are looking to find ways to better understand how they can apply the principles of sustainability to specific areas of interest. A minor in sustainable tourism will allow students from any major to learn the basic concepts and theories of tourism development and management and will help them identify ways in which tourism can contribute to sustainable development, locally and globally. ",Arizona State University,4531,,,Curriculum,,"Recreation, Leisure, & Tourism",,,tourism,,,,,Minor,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/PPTDMSMIN/undergrad/true
"Outdoor Recreation, Parks & Human Ecology Minor","This undergraduate minor program is intended for students in degree programs outside the Outdoor Recreation, Parks and Human Ecology major, who wish to add this specialty to their studies. ",Indiana University Bloomington,6354,,,Curriculum,,"Recreation, Leisure, & Tourism",,,tourism,,,,,Minor,,,,,,http://bulletins.iu.edu/iub/phb/2016-2017/undergraduate/minors/outdoor-rec.shtml
"Parks & Recreation Management Concentration, Community Resources & Development (MS)","The MS degree in community resources and development with a concentration in parks and recreation management is offered by the School of Community Resources and Development. This master's degree program is research-oriented. It is designed to prepare graduates for careers in governmental agencies, nonprofit organizations and private-sector businesses by teaching them to analyze and understand critical topics and issues pertinent to the fields of tourism, parks and recreation management, nonprofits and nongovernmental organizations, and sustainable communities. ",Arizona State University,4531,,,Curriculum,,"Recreation, Leisure, & Tourism","Urban, Community & Regional Planning",,recreation,,,,,Master's Degree,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/PPCRDPRMS/graduate/false
"Population, Development & Sustainability, Geography Major",This emphasis focuses on sustainable population growth and urban systems. Students can choose electives that allow them to specialize in either Urban or Sustainable Development areas. ,University of Utah,3994,,,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",,,geography,,,,,Specialization/Concentration/Emphasis,,,,,,http://www.geog.utah.edu/emphases.html
Environment & Sustainability Focus Area in Economic & Social Development of Regions (MA),"This focus area introduces students to some of the most significant issues arising from the connections of economic activity and economic development to the quality and sustainability of the environment. Students learn skills in the economic and political analyses relevant to the design and implementation of policy alternatives that have emerged domestically and globally over the last 40 years or so. From global climate change to brownfields, concern about environmental damage has created a rich legacy of economic and political analysis, policy, and politics to which students are exposed through the courses in the focus area.",University of Massachusetts Lowell,1729,,,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",Sustainability Studies & Science,,economics,,,,,Specialization/Concentration/Emphasis,,,,,,http://www.uml.edu/Catalog/Graduate/FAHSS/Econ-Social-Dev/Focus-Areas.aspx#Environment
Geography (MS),"Geography is the study of physical environments and human habitats. It deals with people and places. It covers issues such as global warming and climate change, food and water resources, management of ecosystems, human health, regional economic disparities, urban infrastructure, native land claims and permafrost problems. Both a physical and a social science, it provides a unique opportunity to obtain a broad exposure to modes of analyzing the many environmental and situational problems of contemporary society. ",McGill University,2381,,,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",,,geography,,,,,Master's Degree,,,,,,http://www.geog.mcgill.ca/graduate.html
Geographic Information Science (MS),"The Masters of Science in Geographical Information Science (GISci) program prepares graduate students for advanced careers in a wide range of geospatial information research and applications. Geographic information science encompasses the development, use, and applications of geographic information systems (GIS), cartography, remote sensing, global positioning systems (GPS), and spatial statistics. A student completing this masters program will be prepared to take on advanced technical and leadership roles in environmental and resource agencies and firms employing GIS, remote sensing and other geospatial technologies. ",San Francisco State University,2757,,,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",Computer & Information Sciences,,GIS,,,,,Master's Degree,,,,,,http://geog.sfsu.edu/msgis
Geography (BA),"The undergraduate major core courses introduce foundational concepts in physical and human geography, as well as geographic techniques. An upper division distribution requirement gives students more focused work in physical environment, human geography, regional geography and applied geography or geographic techniques. Each student also develops a focus of interest based upon 12 units of upper division course work related to a coherent theme",San Francisco State University,2757,,,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",,,geography,,,,,Baccalaureate degree,,,,,,http://geog.sfsu.edu/ba
Resource Management & Environmental Planning Concentration in Geography (MA),"The most common areas of specialization within the Master of Arts in Geography is the Concentration in Resource Management and Environmental Planning, which affords opportunities for work in affiliated disciplines, and unofficial specializations in geographic techniques, physical geography, urban geography, environmental or land-use history, and environmental analysis. In general, the MA programs in Geography meet the academic needs of individuals seeking careers in environmental management and policy, urban and regional planning, Geographic Information Science (GIS/remote sensing) or as academics at the community college level. ",San Francisco State University,2757,,,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",Environmental Studies & Sciences,,natural resources,geography,,,,Specialization/Concentration/Emphasis,,,,,,http://geog.sfsu.edu/marmep
"Geography, Urban & Environmental Studies (MS)","The MSc in Geography, Urban and Environmental Studies provides students with the theoretical foundation and analytical tools they need to better understand human interventions in the environment. ",Concordia University,2969,,,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",Environmental Studies & Sciences,"Urban, Community & Regional Planning",geography,urban focus,,,,Master's Degree,,,,,,http://www.concordia.ca/academics/graduate/geography-urban-environmental-msc.html
Environment & Community (MA),"A two-year, interdisciplinary master’s program. Focuses on the relationship between people and the environment and finds socially just solutions to environmental problems. ",Humboldt State University,3222,,,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",Environmental Studies & Sciences,"Urban, Community & Regional Planning",geography,urban focus,,,,Master's Degree,,2 years,,,,https://envcomm.humboldt.edu/
"Sustainability Concentration, Economic Development Major",The sustainability concentration in the economic development major prepares students to work in professional capacities focusing on sustainable economic development and community growth. Coursework pays special attention to community development and ecological issues. ,Messiah College,3480,,,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",,,economics,community development,,,,Specialization/Concentration/Emphasis,,,,,,http://www.messiah.edu/info/21937/sustainability_economic_development
"Climate Change & Landscape Dynamics Emphasis, Geography (BA/BS)","This emphasis focuses on the Earth system, its processes, and the impacts of these processes on the environment. Students can choose electives that allow them to specialize in one or more of the following areas: climate, biogeography, geomorphology, and hydrology/cryogeography. Recent and future changes in the Earth's climate represent one of the greatest challenges for modern society, and courses in this emphasis cover the climate system, climate change, and impacts of climate change on the environment and society. Courses on biogeography provide expertise on the global patterns of life, and geomorphology allows students to gain an understanding of the processes that shape the landscapes that surround us. Water is a regionally and globally important resource, and the cryosphere represents the environments that are most vulnerable to climate change. ",University of Utah,3994,,,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",Environmental Studies & Sciences,,climate change,geography,,,,Specialization/Concentration/Emphasis,,,,,,http://www.geog.utah.edu/emphases.html
Ecological Economics Graduate Certificate,"As a synthesis between different fields of study, this certificate is an ideal complement to any educational training or professional experience. In fifteen credits students gain a solid foundation in Ecological Economics and develop new skills to help them contribute to the big picture at thier organization, in thier research, or throughout thier career. ",University of Vermont,3995,,,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",Environmental Studies & Sciences,,economics,,,,,Graduate Certificate/Diploma,,,,,,https://www.uvm.edu/gund/ecological-economics-graduate-certificate
"Environmental Conservation, Sustainability & Development Concentration, Geographic Science (BA/BS)","The environmental conservation, sustainability and development (ECSD) concentration focuses on the geographical contexts within which people and places interact. Required and elective course work allows students to explore spatial and temporal patterning between human communities and the natural environment at multiple scales. ",James Madison University,4345,,,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",Environmental Studies & Sciences,,conservation,geography,,,,Specialization/Concentration/Emphasis,,,,,,http://www.jmu.edu/catalog/16/programs/isat.shtml
Environmental Social Sciences (PhD),"The PhD program in environmental social science is one of the few doctoral degree programs in the U. S. that draws on the premise that reducing human impacts and developing more sustainable environmental practices will be difficult, if not impossible, to achieve without a focus on the social dynamics of environmental issues using critical social science perspectives. ",Arizona State University,4531,,,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",Environmental Studies & Sciences,,environmental science,,,,,Doctoral Degree,,,,,,https://webapp4.asu.edu/programs/t5/majorinfo/ASU00/LAESSPHD/graduate/false
Kanawayihetaytan Asky Certificate Program,"The Kanawayihetaytan Askiy, formerly the Indigenous Peoples Resource Management program, is a uniquely designed certificate program that is focused on providing a broad range of topic areas specific to the management of lands and resources on federal reserve lands. This program examines basic environmental, legal and economic aspects of land and resource management in Aboriginal communities. The program also provides students with the opportunity to increase skill levels in communications, computers, time management, leadership, research and project management. ",University of Saskatchewan,7859,,,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",,,indigenous focus,,,,,Undergraduate Certificate/Diploma,,,,,,http://explore.usask.ca/programs/colleges/agbio/ka/index.php
Environmental Geography (BS),"The bachelor's degree in environmental geography is at the junction of natural and social sciences. It offers excellent basic training in human and physical geography, focusing on the theme of environment and sustainable development. ",Universite de Montreal,7607,,,Curriculum,,"Social Sciences (Economics, Geography, Political Science, etc)",Environmental Studies & Sciences,,geography,,,,,Baccalaureate degree,,,,,,http://geographie.umontreal.ca/programmes-cours/premier-cycle/baccalaureat-en-geographie-environnementale/
"Sustainability Concentration, Interdisciplinary Studies (BA)","The concentration in sustainability introduces students to the problems of sustainability and enables them to understand what it is that determines the sustainability of human institutions, organizations, cultures and technologies in different environments at the local, national and international level. The 18-credit concentration allows students from many areas of study to explore the challenges of sustainability and how it may be used to develop solutions to pressing issues at local and global levels. Students must take two core sustainability courses and choose two of the following four themes and take two courses from each of the two themes selected.",Arizona State University,4531,,,Curriculum,,Sustainability Studies & Science,,,interdisciplinarity,,,,,Specialization/Concentration/Emphasis,,,,,,https://cisa.asu.edu/bis-concentrations/2017-18/sustainability
Social Responsibility & Sustainable Communities (MA),"This master of arts degree is an interdisciplinary program of study that provides students with the tools to lead communities toward social justice and sustainability. It is designed especially for students inclined toward the humanities, social sciences, and related fields. ",Western Kentucky University,1816,,,Curriculum,,Sustainability Studies & Science,"Urban, Community & Regional Planning",,community development,,,,,Master's Degree,,,,,,http://www.wku.edu/dcs/master-of-arts-in-social-responsibility-and-sustainable-communities/index.php
Sustainability (MS),"The Master of Science in Sustainability degree is intended to inform students about the theoretical and practical issues relevant to sustainability, and prepare them to reflect on, communicate with different stakeholders, and implement real-world solutions to problems, in order to work towards a sustainable society. ",Black Hills State University,603,,,Curriculum,,Sustainability Studies & Science,,,,,,,,Master's Degree,,,,,,http://www.bhsu.edu/Academics/GraduatePrograms/Sustainability/tabid/13919/Default.aspx
Sustainability Minor,"The goal of the Minor in Sustainability is to offer Portland State undergraduate students an understanding of the multidisciplinary concepts and practices integral to sustainable living. The Minor has two primary components. The first is to educate the students in a balanced and rigorous manner about the various concepts, theories and methods related to sustainability. The second is to have the students work with a community partner on a project applying sustainability concepts and measures. ",Portland State University,2515,,,Curriculum,,Sustainability Studies & Science,,,,,,,,Minor,,,,,,http://www.pdx.edu/esm/sustainability-minor
"Ethics, Values & Society Minor","Within this minor, students gain important knowledge in the societal implications of Sustainability. In an age where technology, mass communication and heightened population, this minor is directly applicable to an endless list of sustainability related topics. ",Central Michigan University,2763,,,Curriculum,,Sustainability Studies & Science,,,ethics,,,,,Minor,,,,,,https://go.cmich.edu/academics/undergraduate/find_program/pages/ethics_values_and_society_minor.aspx
Environmental & Sustainability Studies (BA),"The Environmental & Sustainability Studies program inspires students to be positive agents for change in the world and gives them the tools they need to be part of the solution they want to see. Through this program, under the umbrella of our Social Science & Policy Studies Department, our faculty and students tackle local and global issues and projects that affect residents from Worcester to Morocco. WPI’s project-based program gives students the technological and scientific skills needed to comprehend complicated environmental issues—and the relevant sociopolitical understanding and the practical hands-on work to find effective, sustainable, and culturally sensitive solutions to problems. We investigate ways to strike a balance between improving the quality of life and honoring humankind’s responsibility to natural resources. ",Worcester Polytechnic Institute,194,,,Curriculum,,Sustainability Studies & Science,Environmental Studies & Sciences,,,,,,,Baccalaureate degree,,,,,,https://www.wpi.edu/academics/study/environmental-sustainability-studies-ba
Environmental & Sustainability Studies Minor,"The Environmental & Sustainability Studies program inspires students to be positive agents for change in the world and gives them the tools they need to be part of the solution they want to see. Through this program, under the umbrella of our Social Science & Policy Studies Department, our faculty and students tackle local and global issues and projects that affect residents from Worcester to Morocco. ",Worcester Polytechnic Institute,194,,,Curriculum,,Sustainability Studies & Science,Environmental Studies & Sciences,,,,,,,Minor,,,,,,https://www.wpi.edu/academics/study/environmental-sustainability-studies-minor
Global Environmental Sustainability Minor,The Global Environmental Sustainability Minor offers students in every department a curriculum that enhances their major with an understanding of the issues of sustainability and provides students with the tools to bring sustainability into their career paths. ,Colorado State University,828,,,Curriculum,,Sustainability Studies & Science,Environmental Studies & Sciences,,international,,,,,Minor,,,,,,http://sustainability.colostate.edu/education/minor-global-environmental-sustainability
Global Social & Sustainable Enterprise MBA,"This program provides aspiring international entrepreneurs with advanced business skills needed to build and manage global ventures that achieve sustainability with results focused on the triple bottom line of economic, social, and environmental performance. Students put these skills to work building a business as part of their degree. ",Colorado State University,828,,,Curriculum,,Sustainability Studies & Science,,,mba,,,,,Master's Degree,,,,,,https://biz.colostate.edu/academics/graduate-programs/mba/global-social-sustainable-enterprise-mba
Sustainable Energy (MS/MPS),"The Sustainable Energy area of study examines the biological, technical, economic, environmental, business, and policy feasibility and life cycle impacts of sustainable energy systems, with a particular focus on biobased sustainable energy. ",State University of New York College of Environmental Science and Forestry,1404,,,Curriculum,Energy,Sustainability Studies & Science,,,,,,,,Master's Degree,,,,,,http://www.esf.edu/fnrm/graduate/se.asp
Sustainable Energy (PhD),"The Sustainable Energy area of study examines the biological, technical, economic, environmental, business, and policy feasibility and life cycle impacts of sustainable energy systems, with a particular focus on biobased sustainable energy. ",State University of New York College of Environmental Science and Forestry,1404,,,Curriculum,Energy,Sustainability Studies & Science,,,,,,,,Doctoral Degree,,,,,,http://www.esf.edu/fnrm/graduate/se.asp
Sustainability Leadership Certificate,"The Certificate in Sustainability Leadership (CSL) is an undergraduate interdisciplinary program designed to prepare individuals for leadership roles in organizations committed to sustainable practices. The program is designed to give students a strong foundational understanding in the three E’s of sustainability: economy, environment, and equity (also known as the Triple Bottom Line). The certificate provides students with a broad understanding of all of the major applied areas of sustainable organizational leadership, including alternative transportation, waste reduction, renewable energy, green building, corporate social responsibility, fair trade, shared value, localization, community finance, and other emerging sustainable business practices. ",Southern Oregon University,1628,,,Curriculum,,Sustainability Studies & Science,,,leadership,,,,,Undergraduate Certificate/Diploma,,,,,,http://catalog.sou.edu/preview_program.php?catoid=8&poid=2153
Climate Change & Sustainability,"an interdisciplinary minor, under the direction of the UMass Lowell Climate Change Initiative and housed in the Environmental, Earth and Atmospheric Sciences Department. A student enrolled in this minor will gain an understanding of the basic science behind climate change as well as the social and economic consequences of climate change. ",University of Massachusetts Lowell,1729,,,Curriculum,Air & Climate,Sustainability Studies & Science,,,climate change,,,,,Minor,,,,,,https://www.uml.edu/Catalog/Undergraduate/Sciences/Departments/Environmental/Minors/climate-change-sustainability-minor.aspx
Sustainability Certificate,"The Global Sustainability cognate will earn students 9 of the 18 credits needed for the Sustainability Certificate. In addition, students will take 9 more credits from courses included in the cognate or from a list of approved courses (see below). Students may take the additional 9 credits to align with their major or minor, or individual interests (e. g. , energy, green buildings, natural resource management).",University of Miami,1743,,,Curriculum,,Sustainability Studies & Science,,,,,,,,Undergraduate Certificate/Diploma,,,,,,http://www.as.miami.edu/ecs/sustainability-certificate/
Environmental & Sustainability Studies Minor,This program focuses on environmental sustainability through science-based curriculum. ,Western Kentucky University,1816,,,Curriculum,,Sustainability Studies & Science,Environmental Studies & Sciences,,,,,,,Minor,,,,,,http://www.wku.edu/geoweb/documents/minorprograms.pdf
Global Pathways to Sustainability Graduate Certificate,"The Global Pathways to Sustainability (GPS) Graduate Certificate prepares professionals working in organizations and institutions to understand complex environmental and social problems and to apply community-based solutions. The certificate offers a multidisciplinary study of the environmental, social, and policy dimensions of sustainability. ",Western Kentucky University,1816,,,Curriculum,,Sustainability Studies & Science,,,,,,,,Graduate Certificate/Diploma,,,,,,http://www.wku.edu/dcs/global-pathways-certificate.php
Graduate Certificate in Sustainable Construction,"By achieving a Certificate in Sustainable Construction, students will earn a credential that indicates that they have accomplished specialized, high quality study in the field of International Construction Management. Courses include: Principles of International Sustainable Construction, Construction Ecology and Metabolism, and High Performance Green Building. Applicants for the certificate program are required to have a bachelor’s degree and construction experience. ",University of Florida,2088,,,Curriculum,,Sustainability Studies & Science,,,,,,,,Graduate Certificate/Diploma,,,,,,https://dcp.ufl.edu/rinker/academics/certificates/international-construction-management-certificates/#sustain
Sustainability & the Built Environment Minor,"The minor provides an introduction to the challenges of planning, design and construction of human structures and settlements. Courses will provide an overview of environmental and cultural issues as they apply to design, planning sustainable applications and solutions. Field trips to broaden and expand students' educational experiences through study of planning, design, construction and sustainability projects are required. ",University of Florida,2088,,,Curriculum,,Sustainability Studies & Science,Design,,,,,,,Minor,,,,,,https://catalog.ufl.edu/ugrad/current/design/Minors/sustainability.aspx
Sustainability Studies Minor,"Sustainability Studies prepares students for global citizenship while providing the knowledge and skill sets that are increasingly in demand. Maintaining environmental health, creating economic welfare, and pursuing social justice in a changing world are tough challenges. Sustainability Studies students gain understanding of the ways in which these three goals are interdependent and explore how they best can be pursued over the long term on local, national, and global levels. Students put their knowledge to work on campus and in the local community in the capstone course, Sustainability in Acti",University of Florida,2088,,,Curriculum,,Sustainability Studies & Science,,,,,,,,Minor,,,,,,http://sustainability.clas.ufl.edu/minor.html
Sustainability Certificate,"The Certificate in Sustainability is a credential for undergraduate students who have a commitment to learning more about sustainability. It celebrates and recognizes the advancements made in sustainability of natural resources, urban design, energy and water systems, landscape management and the myriad of collective goods that bring health, wellness, creativity, resiliency, and hope for present and future generations. It demonstrates students' commitment to knowledge around being a serious contributor to a sustainable world, in which they can carry out leadership in the workplace, community, university, or other group setting, given sustainability's overwhelming importance to the future of a fair and healthy ecosystem and set of interconnected societies. ",University of Alberta,2224,,,Curriculum,,Sustainability Studies & Science,,,,,,,,Undergraduate Certificate/Diploma,,,,,,http://sustainabilitycert.ualberta.ca/
"Sustainability Specialization, MBA","The sustainability specialization of the Alberta MBA looks at how business can deliver a social impact, operate in an environmental sensitive manner and build communities. In addition to required courses in corporate sustainability, ethics and corporate social responsibility, the sustainability specialization includes courses in: accounting for natural resources; energy & environment; natural resource and environmental law; environmental management; sustainability and responsible marketing; managing not-for-profit organizations; social entrepreneurship; clean technology; and managing arts organizations. ",University of Alberta,2224,,,Curriculum,,Sustainability Studies & Science,,,mba,,,,,Specialization/Concentration/Emphasis,,,,,,https://www.ualberta.ca/business/programs/mba/sustainability
Sustainability Studies Certificate,By earning the Embedded Certificate in Sustainability Studies students will graduate with the knowledge and skills to become a sustainability leader in thier career and community. Students will also have a strong understanding of the role they can play in achieving the United Nations 17 Sustainable Development Goals committed to by over 190 world leaders.,University of Calgary,2243,,,Curriculum,,Sustainability Studies & Science,,,,,,,,Undergraduate Certificate/Diploma,,,,,,http://www.ucalgary.ca/sustainability/certificate
Sustainable Energy Minor,"The Minor in Sustainable Energy, open to all undergraduates, teaches students the interdisciplinary nature of energy studies. The curriculum includes the essential elements of energy from the business, economics, policy and engineering perspectives, as taught by faculty in those areas. The program is a collaborative effort among faculty in the Department of Earth and Environment in the College of Arts and Sciences, the School of Management, and the College of Engineering. ",Boston University,2246,,,Curriculum,Energy,Sustainability Studies & Science,,,,,,,,Minor,,,,,,http://www.bu.edu/earth/education/undergraduate/minors/minor-in-sustainable-energy/
Sustainability Focus Award,The Sustainability Focus award recognizes students who have completed a broad range of sustainability related courses. The award is designed to encourage students to learn to see environmental issues from multiple perspectives and to increase their experience in this multi-disciplinary topic. The earning of this focus award can demonstrate to potential employers and transfer colleges that the student has a deep and broad understanding of sustainability issues. ,Portland Community College,2505,,,Curriculum,,Sustainability Studies & Science,,,,,,,,Minor,,,,,,http://catalog.pcc.edu/focusawards/sustainabilityfocusaward/
